text,date,n_favs,n_rts
"@Eycer1 jsasjsas quiero hacer que alguien haga esto algún día, tengo que encontrar a alguien con Linux que no sepa 🥲",2022-11-06 17:29:33+00:00,1,0
eliminaré al próximo que tome una foto en un charco en la simón.,2022-11-06 17:25:55+00:00,1,0
@Waffle1605 cursed,2022-11-06 15:54:56+00:00,2,0
@rohelysss yo siempre,2022-11-06 03:04:59+00:00,1,0
ojalá algún día tenga tanto dinero para comprar twitter y matarlo inmediatamente https://t.co/xXdzIKqUI4,2022-11-05 22:41:15+00:00,1,0
uno más https://t.co/W8naWHq2Ei,2022-11-05 22:38:44+00:00,1,0
@pupilalejana este ep retrata un poco eso de forma muy cruda https://t.co/IKzhk3zYZ9,2022-11-05 21:46:26+00:00,1,0
ⓘ Tuit 𝙋𝙧𝙚𝙢𝙞𝙪𝙢 no es posible verlo.,2022-11-05 21:21:50+00:00,1,0
"lentes que no se ensucien sería un buen invento
en eso es que tienen que trabajar los ingenieros en materiales",2022-11-05 17:09:41+00:00,1,0
"de la que se fue con mis ganas de amar mis ganas de vivir
no las he vuelto a encontrar.",2022-11-05 17:06:03+00:00,1,0
@AdriVasquez6601 buenardo el suéter de in utero,2022-11-05 03:07:43+00:00,1,0
y si planta baja de mem es cuando entras por bonsai y subes las escaleras y entonces la entrada por chipa es el sótano,2022-11-04 22:13:11+00:00,4,0
marico cuánto tiempo lleva ese sonidito que sale al final de los tiktoks compartidos. me acabo de dar cuenta y qué… https://t.co/ILx13n2bEi,2022-11-04 17:34:58+00:00,3,0
otras de ese día https://t.co/38iM7T8tG0,2022-11-04 17:00:06+00:00,3,0
este ganó https://t.co/ucYbhfODfY https://t.co/CKvRSssm1a,2022-11-04 16:59:20+00:00,3,0
@kastaniev https://t.co/5hiEcJR2SX,2022-11-04 13:29:20+00:00,1,0
joji maldito no me decepciones decidí escuchar tu álbum primero que el de drake por algo,2022-11-04 04:10:21+00:00,1,0
Se exonera del pago al chofer de la unidad y a los estudiantes de la UEUSB.,2022-11-03 12:57:32+00:00,2,0
@MiniFreesia naguará para que pase eso tuvo que haber sido que si la primera que aparecía 😭,2022-11-02 21:22:57+00:00,1,0
https://t.co/aHgwBPlPwX,2022-11-02 17:16:09+00:00,4,0
"casi se me olvida. feliz noviembre el mejor mes del año
https://t.co/PbDLapmAF6 https://t.co/xzhBbsbcQE",2022-11-02 00:50:07+00:00,3,1
"Ing. Químico y Master en Ing. Química de la USB
Profesor de la USB entre 2005 y 2019
JD de la APUSB",2022-11-01 13:18:42+00:00,1,0
"el único álbum digital que tengo comprado no lo he escuchado. no paguen por escuchar música, no paguen pon consumir… https://t.co/sik4LkASsI",2022-10-31 15:55:21+00:00,1,0
"si eres hombre
y explicas
mansplaining
conclusión
no expliques si eres hombre",2022-10-30 19:22:22+00:00,2,0
"me informaron que Stephany tiene Twitter, leyó nuestro preciado feedback y ahora está considerando cambiar a semestres. hoy ganamos amigos.",2022-10-29 16:40:30+00:00,4,0
"Lléguense al didactrón, pueden hacer eso y está fino https://t.co/VnCxCHkSTE",2022-10-29 15:32:12+00:00,3,0
las capturas viejas que encuentro dios mio https://t.co/EpoZsafztQ,2022-10-29 15:29:38+00:00,1,0
@gonthal de pana,2022-10-29 14:56:43+00:00,1,0
"a veces quiero que se joda todo y que se jodan todos, genuinamente. truly frustrating",2022-10-29 06:00:23+00:00,0,1
@MiniFreesia no tiene otro nombre,2022-10-29 05:31:44+00:00,1,0
"you liked hamilton, i see https://t.co/kYAgytbP89",2022-10-29 02:40:55+00:00,1,0
les pasa que se les va la luz y ahí mismo se les va el wifi? qué extraño! lo más loco es que vuelve cuando vuelve la luz,2022-10-29 02:40:11+00:00,1,1
"tell me what you want
tell me what you need
a to c 다 말해봐
but 시작은 이렇-게 - 해
talk that talk 딱-한-마-디
talk that talk l-o-v-e",2022-10-29 02:25:26+00:00,1,0
"dentro de poco cumplen un año mis dos pares de audífonos, gracias dios nunca me habían durado tanto los audífonos",2022-10-29 01:52:32+00:00,2,0
https://t.co/5t9eytbyV6,2022-10-29 01:27:11+00:00,3,0
la conclusión es que si por alguna razón cualquiera que esta sea te parecen bien el régimen trimestral eres un mama… https://t.co/rB8dctnRcc,2022-10-28 23:52:24+00:00,2,0
yo de pana daré mi opinión 100% sinceramente y obviamente objetiva: escuchen a su artista favorito todo el día hast… https://t.co/kNyzPMKJSm,2022-10-28 21:23:06+00:00,4,0
@StephaExposito hasta donde sé a la gente que hackean es gente que no saben nada de eso. les llega un mensaje de al… https://t.co/nOPna0F4MN,2022-10-28 14:12:53+00:00,2,0
"ngl yo tengo un local y no dejo pasar a gente con android, ciertamente pelabolas.",2022-10-28 04:07:23+00:00,1,0
@aaeilrv ayudas sacándote el riñón,2022-10-27 20:13:19+00:00,1,0
@raooult elias sacó 5 Bitcoins ahí,2022-10-27 19:58:58+00:00,1,0
https://t.co/OgtTyKlERK https://t.co/9IMmUclVn4,2022-10-27 13:33:57+00:00,1,0
"Entre las personas que amo de la universidad, están los que sacan más nota que tú (queriendo tirársela de la gran v… https://t.co/KZLZkvXHIt",2022-10-27 13:06:32+00:00,1,0
@ericitodemar 😡,2022-10-26 20:00:05+00:00,1,0
@LeGranColombia simp amigo,2022-10-26 00:53:35+00:00,1,0
https://t.co/4OSVjp3Uwj,2022-10-26 00:16:43+00:00,1,0
que si top of all time https://t.co/7UUPgr70hI https://t.co/Hvg9zRFykn,2022-10-25 22:52:28+00:00,2,0
Me ha encantado leer esto de que Taylor llegó a probar muchos géneros para quedarse como “reina de ninguno” porque… https://t.co/ms34ATrk4o,2022-10-25 21:21:06+00:00,1,0
Manuel (una chama),2022-10-25 13:10:27+00:00,1,0
"@ElJaovich diría solo gaming, para trabajo creativo (producción músical, diseño gráfico, modelado, etc) las mac van… https://t.co/cyOPsbHmhP",2022-10-24 14:40:32+00:00,1,0
@jesusbandezt https://t.co/X28qLDp4bE,2022-10-24 13:03:30+00:00,3,0
esquizofrenia https://t.co/WUQZUGkkmo,2022-10-24 12:59:48+00:00,3,0
el peor artista de latinoamérica https://t.co/Pwx6H45LV0,2022-10-23 18:42:22+00:00,1,0
https://t.co/VV5acYkRbe,2022-10-23 18:36:59+00:00,1,0
no apruebo el uso de Windows,2022-10-23 03:09:20+00:00,1,0
"@pupilalejana en mi ciudad el tijerazo quebró hace años XD, todo ahí era feo, no sé si ahorita los estarán poniendo mejor",2022-10-23 00:07:04+00:00,3,0
@Mi_after_Luis un doppelganger,2022-10-22 22:54:14+00:00,1,0
"alguien de letras: hay un texto humorístico que es como una narración corta sin comas, que hace de una carta que la… https://t.co/f8gttBUnmg",2022-10-22 13:54:13+00:00,3,1
@Eycer1 XDDDDDDD totalmente merecido,2022-10-22 03:01:53+00:00,1,0
"@rayitodesoli the feels
shine - pentagon
dingga
pop!
one more time - daft punk
fuck you - ceelo green
sir duke - st… https://t.co/Eq8IuUXx6B",2022-10-22 01:31:48+00:00,1,0
@rohelysss dele,2022-10-22 01:09:39+00:00,1,0
@Waffle1605 siendo la de las distros más feas de linux still better than windows,2022-10-21 17:21:29+00:00,1,0
quien no conoce un raulito a cualquier tom le reza,2022-10-21 17:08:07+00:00,1,0
un (1) tema https://t.co/xOYP9TWgZs,2022-10-21 16:46:43+00:00,1,0
@MiniFreesia kaggla,2022-10-21 15:58:21+00:00,1,0
tag fourself https://t.co/n92E1DSvw7,2022-10-21 14:58:56+00:00,1,0
lo hice: how to center a div.,2022-10-21 03:33:14+00:00,1,0
@StephaExposito yo y literalmente todos los compu,2022-10-20 19:25:30+00:00,3,0
